Time (ps),R1_WT,R2_WT,R3_WT,AVG_WT,R1_C391R,R2_C391R,R3_C391R,AVG_C391R,R1_419X,R2_419X,R3_419X,AVG_419X
426,202.529,203.437,200.167,202.044333333333,197.261,197.444,196.266,196.990333333333,194.459,201.503,200.649,198.870333333333
428,197.124,202.623,201.905,200.550666666667,197.682,196.301,196.137,196.706666666667,196.279,204.286,198.641,199.735333333333
430,197.212,203.273,201.073,200.519333333333,200.218,199.027,195.951,198.398666666667,195.322,202.591,200.379,199.430666666667
432,198.075,202.436,199.008,199.839666666667,201.265,197.297,195.563,198.041666666667,197.065,202.744,198.346,199.385
434,199.307,199.643,196.868,198.606,197.495,195.755,196.199,196.483,193.476,202.084,199.153,198.237666666667
436,199.984,201.789,197.095,199.622666666667,196.304,198.792,196.224,197.106666666667,194.729,202.24,202.16,199.709666666667
438,196.142,198.723,199.745,198.203333333333,202.181,196.779,195.838,198.266,196.661,200.614,202.06,199.778333333333
440,197.423,198.366,198.868,198.219,199.682,197.461,195.775,197.639333333333,198.441,198.692,201.279,199.470666666667
442,198.101,200.979,197.906,198.995333333333,198.921,197.53,196.134,197.528333333333,194.938,201.471,201.012,199.140333333333
444,197.426,197.199,197.315,197.313333333333,193.93,195.85,195.056,194.945333333333,195.818,200.786,197.936,198.18
446,199.602,197.953,198.829,198.794666666667,196.813,194.973,194.364,195.383333333333,196.636,197.628,197.663,197.309
448,194.195,201.594,197.661,197.816666666667,194.881,197.311,195.261,195.817666666667,198.505,199.375,201.755,199.878333333333
450,195.349,201.343,195.395,197.362333333333,201.126,197.914,198.599,199.213,195.905,201.76,197.001,198.222
452,193.022,200.931,196.187,196.713333333333,197.772,204.564,197.604,199.98,197.57,201.572,198.089,199.077
454,196.201,198.297,199.389,197.962333333333,197.953,197.897,197.578,197.809333333333,194.957,202.149,201.042,199.382666666667
456,199.303,199.712,198.439,199.151333333333,198.51,198.473,198.723,198.568666666667,196.747,200.319,197.685,198.250333333333
458,195.393,199.571,196.827,197.263666666667,199.831,199.889,199.435,199.718333333333,198.281,201.212,197.379,198.957333333333
460,198.33,202.069,196.827,199.075333333333,200.917,194.398,198.167,197.827333333333,197.361,200.784,195.988,198.044333333333
462,195.696,201.127,200.135,198.986,197.293,198.168,195.957,197.139333333333,198.334,201.049,197.467,198.95
464,200.944,199.872,198.96,199.925333333333,199.938,199.069,198.918,199.308333333333,196.147,202.84,197.209,198.732
466,198.853,200.038,197.96,198.950333333333,198.66,200.844,197.976,199.16,195.814,201.834,199.23,198.959333333333
468,197.763,198.938,197.52,198.073666666667,198.9,199.466,194.341,197.569,193.613,198.062,198.841,196.838666666667
470,198.284,200.739,200.93,199.984333333333,197.762,198.568,193.353,196.561,195.807,199.139,199.258,198.068
472,200.186,200.643,198.387,199.738666666667,200.645,200.63,196.851,199.375333333333,195.656,198.4,200.519,198.191666666667
474,199.103,199.017,197.701,198.607,201.128,201.901,197.675,200.234666666667,197.673,196.342,199.311,197.775333333333
476,197.48,202.669,200.196,200.115,199.62,200.328,197.013,198.987,194.014,198.417,198.208,196.879666666667
478,199.683,204.197,197.674,200.518,201.794,205.114,199.001,201.969666666667,196.717,201.992,199.26,199.323
480,197.633,202.888,197.592,199.371,197.815,199.09,198.976,198.627,197.043,199.008,199.832,198.627666666667
482,200.102,204.009,200.088,201.399666666667,198.678,201.263,199.727,199.889333333333,196.486,200.825,197.568,198.293
484,197.151,203.51,198.689,199.783333333333,197.298,201.376,199.156,199.276666666667,196.661,203.933,197.36,199.318
